datetime,open,high,low,close,volume
2016-01-04,73.65,73.65,73.63,73.65,1066390
2016-01-05,73.63,73.65,73.63,73.65,5176724
2016-01-06,73.63,73.63,73.61,73.61,390635
2016-01-07,73.65,73.65,73.63,73.63,652133
2016-01-08,73.63,73.65,73.63,73.63,586900
2016-01-11,73.63,73.65,73.63,73.63,1459032
2016-01-12,73.61,73.65,73.61,73.65,443822
2016-01-13,73.63,73.65,73.61,73.63,2033582
2016-01-14,73.65,73.65,73.61,73.61,1760261
2016-01-15,73.61,73.63,73.61,73.61,601653
2016-01-19,73.63,73.63,73.61,73.63,4426520
2016-01-20,73.63,73.65,73.63,73.63,739521
2016-01-21,73.63,73.65,73.63,73.65,1291186
2016-01-22,73.65,73.65,73.61,73.61,1004547
2016-01-25,73.63,73.63,73.61,73.63,605623
2016-01-26,73.63,73.63,73.61,73.61,313057
2016-01-27,73.63,73.63,73.61,73.63,1669117
2016-01-28,73.61,73.63,73.61,73.63,163994
2016-01-29,73.61,73.65,73.61,73.65,797369
2016-02-01,73.63,73.65,73.61,73.61,845059
2016-02-02,73.61,73.63,73.61,73.61,1626387
2016-02-03,73.63,73.65,73.61,73.63,2409687
2016-02-04,73.63,73.65,73.63,73.65,281149
2016-02-05,73.65,73.65,73.63,73.65,329981
2016-02-08,73.65,73.65,73.63,73.63,600757
2016-02-09,73.64,73.65,73.63,73.65,896775
2016-02-10,73.63,73.65,73.63,73.63,614846
2016-02-11,73.65,73.65,73.63,73.64,465476
2016-02-12,73.65,73.65,73.63,73.63,439399
2016-02-16,73.65,73.65,73.63,73.63,395760
2016-02-17,73.65,73.65,73.63,73.63,1286186
2016-02-18,73.65,73.65,73.63,73.65,715412
2016-02-19,73.65,73.65,73.63,73.65,912851
2016-02-22,73.65,73.65,73.63,73.65,201614
2016-02-23,73.65,73.65,73.63,73.63,1023100
2016-02-24,73.65,73.65,73.63,73.65,665574
2016-02-25,73.63,73.65,73.63,73.63,1244090
2016-02-26,73.63,73.65,73.63,73.63,883438
2016-02-29,73.65,73.65,73.63,73.65,1616817
2016-03-01,73.63,73.65,73.63,73.65,634628
2016-03-02,73.65,73.65,73.63,73.63,1872565
2016-03-03,73.63,73.65,73.63,73.65,1329024
2016-03-04,73.65,73.65,73.63,73.65,3954760
2016-03-07,73.65,73.65,73.63,73.65,913079
2016-03-08,73.63,73.65,73.63,73.63,542196
2016-03-09,73.63,73.65,73.63,73.65,661840
2016-03-10,73.63,73.65,73.63,73.65,198889
2016-03-11,73.63,73.65,73.63,73.63,386949
2016-03-14,73.63,73.65,73.63,73.63,293918
2016-03-15,73.65,73.65,73.63,73.63,2670668
2016-03-16,73.63,73.65,73.63,73.65,309307
2016-03-17,73.65,73.66,73.63,73.63,199489
2016-03-18,73.65,73.65,73.63,73.63,613243
2016-03-21,73.63,73.65,73.63,73.65,1511626
2016-03-22,73.63,73.65,73.63,73.64,286669
2016-03-23,73.63,73.65,73.63,73.63,261692
2016-03-24,73.63,73.65,73.63,73.65,714251
2016-03-28,73.65,73.66,73.65,73.65,350744
2016-03-29,73.65,73.66,73.65,73.65,646437
2016-03-30,73.66,73.66,73.65,73.65,264639
2016-03-31,73.65,73.66,73.65,73.65,2979385
2016-04-01,73.65,73.66,73.65,73.65,946411
2016-04-04,73.65,73.66,73.65,73.65,1627331
2016-04-05,73.66,73.66,73.65,73.66,1864586
2016-04-06,73.65,73.66,73.65,73.66,1084993
2016-04-07,73.65,73.66,73.65,73.65,1307518
2016-04-08,73.65,73.66,73.65,73.66,192119
2016-04-11,73.65,73.66,73.65,73.65,588570
2016-04-12,73.65,73.66,73.65,73.65,173196
2016-04-13,73.65,73.66,73.65,73.66,183599
2016-04-14,73.65,73.66,73.65,73.66,144054
2016-04-15,73.66,73.66,73.65,73.65,219040
2016-04-18,73.65,73.66,73.65,73.66,3622241
2016-04-19,73.65,73.66,73.65,73.66,139697
2016-04-20,73.66,73.66,73.65,73.66,199484
2016-04-21,73.66,73.66,73.65,73.65,446354
2016-04-22,73.66,73.66,73.65,73.66,388548
2016-04-25,73.65,73.66,73.65,73.65,616656
2016-04-26,73.65,73.66,73.65,73.66,252637
2016-04-27,73.66,73.66,73.65,73.66,105172
2016-04-28,73.65,73.66,73.65,73.66,279734
2016-04-29,73.66,73.68,73.66,73.68,728395
2016-05-02,73.68,73.68,73.66,73.66,370330
2016-05-03,73.66,73.68,73.66,73.68,718860
2016-05-04,73.66,73.68,73.66,73.66,712593
