datetime,open,high,low,close,volume
2016-01-04,11.2,11.27,11.0,11.06,2315284
2016-01-05,11.03,11.06,10.96,10.96,1272374
2016-01-06,10.81,10.9,10.75,10.78,2726817
2016-01-07,10.67,10.83,10.65,10.73,10729925
2016-01-08,10.74,10.75,10.65,10.68,2833434
2016-01-11,10.62,10.78,10.38,10.39,2649562
2016-01-12,10.44,10.46,10.23,10.32,2416189
2016-01-13,10.35,10.4,10.21,10.26,2554516
2016-01-14,10.23,10.31,10.19,10.29,1819299
2016-01-15,10.12,10.17,10.04,10.07,1965364
2016-01-19,10.09,10.11,9.971,9.988,3788187
2016-01-20,9.888,9.938,9.762,9.913,2297210
2016-01-21,9.838,10.1,9.829,10.05,2571064
2016-01-22,10.27,10.35,10.22,10.35,1998122
2016-01-25,10.25,10.32,10.11,10.12,1996228
2016-01-26,10.22,10.45,10.21,10.32,2023619
2016-01-27,10.32,10.52,10.25,10.45,1489759
2016-01-28,10.61,10.66,10.47,10.56,1970307
2016-01-29,10.61,10.7,10.52,10.66,3037553
2016-02-01,10.54,10.56,10.43,10.46,1737250
2016-02-02,10.26,10.34,10.2,10.28,5613756
2016-02-03,10.41,10.55,10.27,10.54,3195660
2016-02-04,10.62,10.67,10.48,10.52,2812383
2016-02-05,10.5,10.54,10.41,10.45,1717243
2016-02-08,10.51,10.53,10.4,10.4,1690723
2016-02-09,10.32,10.37,10.1,10.14,2766758
2016-02-10,10.13,10.25,10.1,10.15,3159122
2016-02-11,10.16,10.3,10.14,10.28,1983979
2016-02-12,10.33,10.49,10.3,10.43,3270065
2016-02-16,10.47,10.47,10.28,10.31,3563554
2016-02-17,10.34,10.57,10.34,10.53,1950049
2016-02-18,10.6,10.61,10.45,10.47,2048853
2016-02-19,10.4,10.41,10.33,10.38,835932
2016-02-22,10.49,10.56,10.49,10.54,764941
2016-02-23,10.5,10.5,10.35,10.4,1497696
2016-02-24,10.32,10.57,10.31,10.53,2442216
2016-02-25,10.49,10.6,10.38,10.52,3845777
2016-02-26,10.66,10.69,10.47,10.51,1688096
2016-02-29,10.56,10.65,10.53,10.64,1828133
2016-03-01,10.63,10.68,10.55,10.65,2226153
2016-03-02,10.62,10.74,10.6,10.71,4520161
2016-03-03,10.67,10.78,10.65,10.76,1721533
2016-03-04,10.81,10.98,10.8,10.97,2070636
2016-03-07,11.01,11.21,10.99,11.17,2811986
2016-03-08,11.17,11.17,11.02,11.02,2127393
2016-03-09,11.1,11.21,11.07,11.19,2559271
2016-03-10,11.12,11.21,11.08,11.17,2837342
2016-03-11,11.26,11.29,11.18,11.21,1016194
2016-03-14,11.13,11.14,11.04,11.11,1070845
2016-03-15,11.06,11.06,10.96,11.02,1619904
2016-03-16,11.05,11.22,11.05,11.21,2435893
2016-03-17,11.28,11.36,11.25,11.34,1008399
2016-03-18,11.37,11.41,11.29,11.33,1795215
2016-03-21,11.31,11.38,11.27,11.36,9829857
2016-03-22,11.36,11.46,11.34,11.45,1518128
2016-03-23,11.29,11.31,11.19,11.21,3211474
2016-03-24,11.05,11.19,11.04,11.14,1844055
2016-03-28,11.14,11.18,11.1,11.17,1004288
2016-03-29,11.06,11.16,11.02,11.15,2363698
2016-03-30,11.22,11.27,11.1,11.11,1362028
2016-03-31,11.1,11.19,11.07,11.09,3584490
2016-04-01,10.91,10.96,10.86,10.9,1174537
2016-04-04,10.85,10.91,10.73,10.75,4667988
2016-04-05,10.73,10.74,10.66,10.72,1870890
2016-04-06,10.73,10.88,10.7,10.84,4851917
2016-04-07,10.81,10.84,10.73,10.81,1046518
2016-04-08,11.0,11.1,10.96,11.06,1301308
2016-04-11,11.09,11.17,11.09,11.15,1769781
2016-04-12,11.26,11.43,11.23,11.39,2565343
2016-04-13,11.41,11.49,11.39,11.45,1957010
2016-04-14,11.44,11.45,11.34,11.36,1085087
2016-04-15,11.26,11.36,11.19,11.31,912992
2016-04-18,11.19,11.41,11.16,11.36,1214888
