datetime,open,high,low,close,volume
2016-01-04,42.19,42.22,41.71,42.2,35625903
2016-01-05,42.11,42.18,41.84,42.13,24449944
2016-01-06,41.26,41.54,41.2,41.44,23430327
2016-01-07,40.66,41.01,40.53,40.58,38260376
2016-01-08,40.82,40.86,40.02,40.09,31770986
2016-01-11,40.54,40.56,39.9,40.26,33743554
2016-01-12,40.59,40.65,40.1,40.45,30352380
2016-01-13,40.72,40.8,39.71,39.82,34190829
2016-01-14,39.99,40.5,39.67,40.33,36074953
2016-01-15,39.02,39.3,38.69,38.87,64797867
2016-01-19,39.56,39.57,38.95,39.23,36915612
2016-01-20,38.43,38.57,37.6,38.35,48641555
2016-01-21,38.18,38.85,37.9,38.62,50067405
2016-01-22,39.56,39.8,39.47,39.76,48390671
2016-01-25,39.45,39.61,39.2,39.23,40302894
2016-01-26,39.45,39.95,39.39,39.93,27912717
2016-01-27,39.85,40.25,39.52,39.67,33454466
2016-01-28,40.04,40.09,39.45,39.79,32034047
2016-01-29,39.95,40.52,39.92,40.49,39922216
2016-02-01,40.15,40.56,40.02,40.45,33155265
2016-02-02,39.87,39.87,39.37,39.5,30241307
2016-02-03,39.71,39.84,38.99,39.83,37054363
2016-02-04,39.58,40.02,39.5,39.89,29297136
2016-02-05,39.71,39.76,39.1,39.27,34594351
2016-02-08,38.64,38.65,38.18,38.56,39628087
2016-02-09,37.71,38.26,37.68,38.1,34928561
2016-02-10,38.23,38.52,37.98,38.06,32968039
2016-02-11,37.53,37.69,37.18,37.5,43296870
2016-02-12,37.6,38.16,37.45,38.15,40929167
2016-02-16,38.82,38.95,38.51,38.93,35263171
2016-02-17,39.26,39.65,39.23,39.61,26477023
2016-02-18,39.77,39.77,39.37,39.39,35755820
2016-02-19,39.1,39.39,38.98,39.35,27841759
2016-02-22,39.64,39.83,39.63,39.8,20335093
2016-02-23,39.54,39.57,39.08,39.15,20305925
2016-02-24,38.5,39.07,38.31,39.01,27652160
2016-02-25,39.23,39.48,39.04,39.48,25582919
2016-02-26,39.68,39.7,39.3,39.37,19871127
2016-02-29,39.29,39.5,39.12,39.14,32183287
2016-03-01,39.71,40.19,39.61,40.14,25434661
2016-03-02,40.13,40.47,40.05,40.44,22970868
2016-03-03,40.55,40.85,40.51,40.83,21852412
2016-03-04,41.12,41.35,41.02,41.13,23338427
2016-03-07,40.71,41.22,40.68,41.08,26659124
2016-03-08,40.91,40.91,40.63,40.68,17394831
2016-03-09,40.86,40.95,40.73,40.83,15972540
2016-03-10,41.15,41.42,40.44,40.77,28467611
2016-03-11,41.5,41.85,41.47,41.83,25249366
2016-03-14,41.77,41.85,41.65,41.74,16275317
2016-03-15,41.31,41.36,41.2,41.35,20232572
2016-03-16,41.04,41.75,41.04,41.72,26255740
2016-03-17,41.74,42.12,41.6,42.04,18630417
2016-03-18,41.97,42.1,41.91,41.96,32272498
2016-03-21,41.86,41.99,41.77,41.9,17797865
2016-03-22,41.56,41.89,41.53,41.82,16218977
2016-03-23,41.72,41.73,41.34,41.4,19850485
2016-03-24,40.88,41.12,40.83,41.12,18945258
2016-03-28,41.41,41.44,41.27,41.37,21744703
2016-03-29,41.18,41.84,41.07,41.82,22756215
2016-03-30,42.18,42.37,42.07,42.13,19856797
2016-03-31,41.93,42.03,41.69,41.72,40615320
2016-04-01,40.86,41.32,40.82,41.27,30600565
2016-04-04,41.38,41.43,41.13,41.18,17147564
2016-04-05,40.45,40.5,40.31,40.38,21607496
2016-04-06,40.51,41.06,40.45,41.03,21227487
2016-04-07,40.69,40.81,40.34,40.43,20285619
2016-04-08,41.24,41.35,41.1,41.2,18856117
2016-04-11,41.47,41.65,41.22,41.23,15885532
2016-04-12,41.55,41.92,41.32,41.84,26079140
2016-04-13,42.43,42.59,42.34,42.5,26430056
2016-04-14,42.71,42.8,42.57,42.64,30018053
2016-04-15,42.61,42.69,42.54,42.55,19339536
2016-04-18,42.49,42.96,42.45,42.91,23636301
2016-04-19,43.56,43.74,43.49,43.66,25638123
2016-04-20,43.63,43.9,43.57,43.69,14820006
2016-04-21,43.62,43.66,43.35,43.43,19558570
2016-04-22,43.39,43.53,43.27,43.45,18187790
2016-04-25,43.23,43.27,43.07,43.23,13849286
2016-04-26,43.4,43.47,43.25,43.39,16498598
2016-04-27,43.26,43.5,43.19,43.41,13505902
2016-04-28,42.9,43.25,42.73,42.82,26151108
2016-04-29,42.85,42.92,42.49,42.64,28424716
2016-05-02,42.97,43.11,42.85,43.04,27808017
2016-05-03,42.62,42.63,42.27,42.34,27814779
2016-05-04,41.98,42.04,41.72,41.85,20961685
2016-05-05,41.82,41.93,41.63,41.76,21856997
2016-05-06,41.58,41.9,41.54,41.88,22779549
2016-05-09,41.98,42.06,41.77,41.79,20059000
2016-05-10,42.1,42.39,42.07,42.37,21978831
2016-05-11,42.11,42.28,42.02,42.02,20926716
2016-05-12,42.38,42.39,41.82,42.01,17898669
2016-05-13,41.68,41.86,41.46,41.58,19728298
2016-05-16,41.72,42.1,41.69,42.07,27481794
2016-05-17,41.99,42.14,41.72,41.77,25756283
2016-05-18,41.81,42.22,41.63,41.78,35548988
2016-05-19,41.53,41.61,41.36,41.48,27763671
2016-05-20,41.83,41.93,41.74,41.82,25410216
2016-05-23,41.67,41.8,41.61,41.69,19294755
2016-05-24,41.97,42.37,41.96,42.29,31186428
2016-05-25,42.61,42.82,42.58,42.74,39522748
2016-05-26,42.89,42.95,42.75,42.85,21591809
2016-05-27,42.77,42.88,42.71,42.81,16688072
2016-05-31,42.96,43.05,42.5,42.61,26424622
2016-06-01,42.4,42.61,42.35,42.57,20004057
2016-06-02,42.35,42.58,42.28,42.57,36710440
2016-06-03,42.72,42.86,42.5,42.85,29804619
2016-06-06,42.99,43.19,42.95,43.09,24005164
2016-06-07,43.42,43.52,43.36,43.4,16056703
2016-06-08,43.53,43.6,43.45,43.49,14965743
2016-06-09,42.96,43.07,42.82,42.96,19532189
2016-06-10,42.05,42.12,41.59,41.71,31726332
2016-06-13,41.17,41.5,40.99,41.1,26472930
2016-06-14,40.67,40.76,40.23,40.45,70823907
2016-06-15,40.79,40.94,40.63,40.72,34608357
2016-06-16,40.14,40.83,39.84,40.8,28079165
2016-06-17,40.94,41.3,40.74,41.2,42782404
2016-06-20,42.47,42.52,42.21,42.23,40794366
2016-06-21,42.58,42.89,42.39,42.57,38348412
2016-06-22,42.74,42.95,42.54,42.54,45708845
2016-06-23,43.47,43.79,43.15,43.72,34183126
2016-06-24,40.14,41.03,39.94,39.97,87261136
2016-06-27,39.41,39.43,38.68,39.2,66993997
2016-06-28,40.12,40.25,39.75,40.23,46431027
2016-06-29,40.82,41.1,40.76,40.96,35443296
2016-06-30,41.05,41.57,40.93,41.57,50014954
2016-07-01,41.59,41.71,41.52,41.57,23340093
2016-07-05,41.07,41.11,40.65,40.77,36352485
2016-07-06,40.3,40.72,40.05,40.7,29071493
2016-07-07,40.77,40.92,40.41,40.55,26521990
