datetime,open,high,low,close,volume
2016-01-04,83.92,84.17,83.84,83.88,7460388
2016-01-05,83.83,84.01,83.72,83.86,2201805
2016-01-06,84.21,84.38,84.14,84.37,1999898
2016-01-07,84.48,84.55,84.18,84.55,3372271
2016-01-08,84.47,84.8,84.4,84.76,1869479
2016-01-11,84.47,84.68,84.4,84.49,5414836
2016-01-12,84.46,85.06,84.4,84.87,10226108
2016-01-13,84.82,85.32,84.74,85.2,2789513
2016-01-14,85.12,85.27,84.83,85.03,2639164
2016-01-15,85.57,85.58,85.35,85.43,4456632
2016-01-19,85.29,85.5,85.21,85.31,5742630
2016-01-20,85.73,86.05,85.67,85.73,5290707
2016-01-21,85.84,85.93,85.46,85.52,2520104
2016-01-22,85.24,85.4,85.13,85.33,1757303
2016-01-25,85.52,85.62,85.43,85.62,1206307
2016-01-26,85.62,85.77,85.54,85.68,1324252
2016-01-27,85.62,85.77,85.31,85.74,1835231
2016-01-28,85.62,85.9,85.58,85.85,2268678
2016-01-29,86.15,86.37,86.05,86.31,4366688
2016-02-01,86.2,86.31,86.0,86.11,6981814
2016-02-02,86.52,86.79,86.52,86.72,5458265
2016-02-03,86.64,87.2,86.6,86.63,13709718
2016-02-04,86.73,86.87,86.58,86.83,2897934
2016-02-05,86.67,87.0,86.59,86.94,1482107
2016-02-08,87.25,87.66,87.21,87.59,2975472
2016-02-09,87.87,87.87,87.53,87.61,2719247
2016-02-10,87.59,87.9,87.39,87.87,2060260
2016-02-11,88.52,88.73,88.17,88.28,3873005
2016-02-12,87.89,88.01,87.44,87.6,3434038
2016-02-16,87.44,87.46,87.23,87.34,3402514
2016-02-17,87.14,87.17,86.88,87.13,4946250
2016-02-18,87.05,87.57,87.05,87.53,3197852
2016-02-19,87.45,87.64,87.37,87.53,1502635
2016-02-22,87.44,87.51,87.38,87.44,1098159
2016-02-23,87.21,87.7,87.17,87.62,2306343
2016-02-24,87.95,88.24,87.53,87.62,2998711
2016-02-25,87.87,88.06,87.69,87.88,2129744
2016-02-26,87.42,87.54,87.32,87.45,3152841
2016-02-29,87.46,87.64,87.41,87.59,4070479
