datetime,open,high,low,close,volume
2016-01-04,63.8,63.8,62.96,63.57,495488
2016-01-05,63.79,64.14,63.56,63.87,326519
2016-01-06,63.04,63.83,63.04,63.53,262653
2016-01-07,62.39,63.18,61.99,62.11,212007
2016-01-08,62.59,62.67,61.38,61.52,570791
2016-01-11,61.78,62.11,61.1,61.89,460089
2016-01-12,62.46,62.73,61.84,62.56,211496
2016-01-13,62.76,62.76,60.52,60.63,338272
2016-01-14,60.74,61.77,59.95,61.31,347167
2016-01-15,59.62,60.47,53.77,60.15,356847
2016-01-19,60.87,61.06,60.07,60.57,279846
2016-01-20,59.69,60.49,58.26,60.01,883519
2016-01-21,60.16,60.87,59.75,60.21,942791
2016-01-22,60.96,61.5,60.9,61.4,811740
2016-01-25,61.31,61.54,60.7,60.74,489506
2016-01-26,60.95,61.4,60.72,61.27,373106
2016-01-27,61.27,61.48,60.02,60.36,525791
2016-01-28,61.19,61.42,60.41,61.24,278250
2016-01-29,61.13,62.42,61.07,62.41,341936
2016-02-01,62.13,63.01,62.12,62.74,427688
2016-02-02,62.37,62.47,61.64,61.85,758833
2016-02-03,62.09,62.28,60.3,61.2,612037
2016-02-04,60.93,60.95,60.16,60.58,406737
2016-02-05,60.4,60.4,58.56,58.77,427218
2016-02-08,57.85,57.87,56.58,57.43,649981
2016-02-09,56.82,58.34,56.82,57.74,627476
2016-02-10,58.32,59.2,58.31,58.37,668348
2016-02-11,57.47,58.28,57.28,57.92,304957
2016-02-12,58.49,58.74,58.21,58.71,506314
2016-02-16,59.41,59.72,59.04,59.72,146298
2016-02-17,60.14,60.81,59.97,60.67,205103
2016-02-18,60.78,60.78,60.06,60.17,125848
2016-02-19,59.93,60.53,59.72,60.51,92763
2016-02-22,61.01,61.5,61.01,61.42,189040
2016-02-23,61.41,61.61,61.08,61.12,124915
2016-02-24,60.62,61.56,60.2,61.48,110109
2016-02-25,61.64,62.41,61.46,62.41,248143
2016-02-26,62.71,62.74,62.08,62.19,107411
2016-02-29,62.11,62.49,61.61,61.61,253337
2016-03-01,62.13,63.03,61.95,63.03,295334
2016-03-02,62.93,62.98,62.52,62.9,288721
2016-03-03,62.77,62.87,62.32,62.86,268043
2016-03-04,62.93,63.07,62.54,62.77,573185
2016-03-07,62.45,62.49,61.73,62.11,334960
2016-03-08,61.76,62.45,61.64,61.87,608640
2016-03-09,62.21,62.22,61.83,62.18,76143
2016-03-10,62.46,62.72,61.67,62.26,125373
2016-03-11,62.78,63.26,62.69,63.25,163128
2016-03-14,63.05,63.5,63.05,63.38,231447
2016-03-15,62.97,63.41,62.97,63.34,194430
2016-03-16,63.22,63.81,63.12,63.69,281116
2016-03-17,63.59,63.79,63.31,63.65,455140
2016-03-18,63.95,64.01,63.57,63.78,187474
2016-03-21,63.73,63.97,63.57,63.89,235369
2016-03-22,63.59,64.13,63.59,63.92,286767
2016-03-23,63.74,64.04,63.64,63.84,82242
2016-03-24,63.6,63.82,63.35,63.82,254110
2016-03-28,63.96,64.2,63.88,64.01,262390
2016-03-29,63.9,64.78,63.9,64.74,404012
2016-03-30,65.07,65.22,64.97,65.06,143038
2016-03-31,65.04,65.19,64.8,64.88,432557
2016-04-01,64.59,65.63,64.59,65.59,366217
2016-04-04,65.64,65.64,65.1,65.26,416546
2016-04-05,64.72,64.87,64.5,64.59,308382
2016-04-06,64.63,65.4,64.63,65.38,180075
2016-04-07,65.13,65.19,64.48,64.75,329509
2016-04-08,65.13,65.13,64.47,64.65,345460
2016-04-11,64.84,64.98,64.22,64.25,181579
2016-04-12,64.27,64.68,63.97,64.62,781357
2016-04-13,65.0,65.05,64.64,64.99,191706
2016-04-14,65.04,65.21,64.88,64.92,115166
2016-04-15,64.99,65.08,64.84,65.07,331397
2016-04-18,64.92,65.56,64.92,65.54,203395
2016-04-19,65.86,65.86,65.04,65.31,224738
2016-04-20,65.4,65.7,65.19,65.43,186324
2016-04-21,65.49,65.49,64.94,65.0,180009
2016-04-22,64.64,64.74,64.07,64.59,234959
2016-04-25,64.36,64.7,64.28,64.7,140086
2016-04-26,64.81,64.98,64.48,64.63,173413
2016-04-27,64.63,64.79,64.24,64.62,262510
2016-04-28,64.75,65.17,64.2,64.36,187312
2016-04-29,64.48,64.57,63.98,64.47,334858
2016-05-02,64.6,65.33,64.6,65.29,353979
2016-05-03,64.83,65.14,64.65,64.84,177193
2016-05-04,64.46,64.87,64.42,64.78,146554
2016-05-05,64.75,64.95,64.59,64.67,52111
2016-05-06,64.6,65.09,64.38,65.08,138240
2016-05-09,65.07,65.72,65.07,65.54,101512
2016-05-10,65.86,66.42,65.78,66.42,140887
2016-05-11,66.38,66.38,65.7,65.7,208548
2016-05-12,66.03,66.11,65.46,65.86,77991
2016-05-13,65.78,65.98,65.4,65.5,67987
2016-05-16,65.52,66.1,65.35,65.93,180355
2016-05-17,65.78,65.84,64.84,65.01,203096
2016-05-18,64.81,65.37,64.57,64.99,270106
2016-05-19,64.61,64.87,64.37,64.77,125993
2016-05-20,64.94,65.26,64.94,65.07,104565
2016-05-23,65.07,65.12,64.78,64.8,442598
2016-05-24,65.03,65.9,65.03,65.84,231561
2016-05-25,65.94,66.05,65.79,65.87,145486
2016-05-26,65.99,66.09,65.85,66.01,111272
2016-05-27,66.09,66.3,66.04,66.23,89719
2016-05-31,66.34,66.36,65.82,66.05,339197
2016-06-01,65.86,66.25,65.86,66.24,153158
2016-06-02,66.15,66.41,66.06,66.41,177622
2016-06-03,66.47,66.78,66.27,66.67,201104
2016-06-06,66.73,66.8,66.45,66.64,415930
2016-06-07,66.73,66.89,66.63,66.65,253954
2016-06-08,66.72,67.12,66.66,67.06,173698
2016-06-09,66.9,67.37,66.9,67.31,162774
2016-06-10,66.96,67.09,66.7,66.92,174223
2016-06-13,66.7,66.97,66.46,66.49,190703
2016-06-14,66.36,66.57,66.18,66.57,163651
2016-06-15,66.65,66.75,66.36,66.41,423894
2016-06-16,66.23,66.72,66.03,66.68,224394
