datetime,open,high,low,close,volume
2016-01-04,101.32,101.48,100.11,101.39,51517062
2016-01-05,101.89,102.02,100.74,101.21,39065561
2016-01-06,99.47,100.82,99.45,100.24,42234893
2016-01-07,98.11,99.34,97.05,97.1,61742257
2016-01-08,97.84,98.42,96.2,96.31,69707476
2016-01-11,97.03,97.28,95.12,96.6,50266933
2016-01-12,97.51,98.22,96.37,97.72,47042234
2016-01-13,98.15,98.36,94.2,94.35,70574873
2016-01-14,94.72,97.2,93.21,96.36,79333798
2016-01-15,93.12,94.39,92.14,93.37,92469672
2016-01-19,94.63,94.79,92.48,93.57,56894987
2016-01-20,92.11,94.29,90.05,93.29,87017637
2016-01-21,93.69,94.77,92.43,93.38,61852267
2016-01-22,95.22,96.12,94.94,96.08,42866291
2016-01-25,95.8,96.29,94.57,94.66,39193385
2016-01-26,95.05,95.92,94.22,95.51,36851456
2016-01-27,94.94,95.36,92.73,93.13,54785967
2016-01-28,94.62,94.71,92.83,94.44,47867123
2016-01-29,94.44,96.45,94.39,96.42,54942935
2016-02-01,95.94,97.04,95.58,96.68,33039131
2016-02-02,96.27,96.27,94.3,94.58,44855348
2016-02-03,95.19,95.21,92.48,94.13,61521217
2016-02-04,93.84,94.87,93.0,94.12,49489752
2016-02-05,93.79,93.82,90.48,90.85,71575973
2016-02-08,89.19,89.86,87.81,89.46,92512648
2016-02-09,88.3,90.54,88.13,89.19,74098096
2016-02-10,90.28,91.38,89.46,89.53,59824217
2016-02-11,88.38,90.11,88.14,89.4,77024949
2016-02-12,90.44,90.85,89.56,90.76,49445193
2016-02-16,92.07,92.81,91.53,92.81,42715953
2016-02-17,93.53,95.04,93.24,94.91,42464620
2016-02-18,95.19,95.22,93.7,93.82,39343408
2016-02-19,93.44,94.39,93.16,94.1,28518436
2016-02-22,94.94,95.72,94.89,95.63,22501707
2016-02-23,95.06,95.33,93.99,94.06,30415991
2016-02-24,93.0,95.07,92.38,94.95,41111005
2016-02-25,95.15,95.89,94.3,95.89,29554669
2016-02-26,96.56,96.64,95.54,95.77,31137120
2016-02-29,95.66,96.39,94.91,94.91,27738150
2016-03-01,95.79,97.95,95.52,97.95,37773617
2016-03-02,97.81,98.01,97.23,97.99,29332144
2016-03-03,97.88,97.92,97.1,97.81,25702267
2016-03-04,97.93,98.47,97.19,97.84,31787995
2016-03-07,97.33,97.91,96.55,97.24,26055053
2016-03-08,96.57,97.42,96.27,96.44,29177969
2016-03-09,96.82,97.07,96.26,97.06,31240182
2016-03-10,97.51,98.02,95.66,96.91,45134723
2016-03-11,97.96,98.6,97.65,98.6,31958203
2016-03-14,98.22,99.0,98.2,98.77,25596310
2016-03-15,98.4,98.84,98.1,98.73,26608307
2016-03-16,98.49,99.87,98.46,99.61,31918720
2016-03-17,99.31,99.79,98.95,99.56,29800409
2016-03-18,99.8,99.96,99.18,99.71,38090158
2016-03-21,99.52,100.19,99.48,100.1,17451587
2016-03-22,99.54,100.64,99.52,100.41,18961113
2016-03-23,100.21,100.29,99.36,99.58,21292292
2016-03-24,99.06,99.64,98.93,99.61,19214633
2016-03-28,99.89,99.91,99.29,99.47,14012593
2016-03-29,99.3,101.13,99.12,101.07,30227975
2016-03-30,101.67,102.19,101.35,101.56,24125677
2016-03-31,101.5,101.87,101.25,101.41,21597393
2016-04-01,100.84,102.53,100.66,102.49,26280854
2016-04-04,102.44,102.56,101.86,102.1,17361502
2016-04-05,101.3,101.69,100.98,101.11,20298887
2016-04-06,101.23,102.81,101.22,102.78,25291317
2016-04-07,102.19,102.36,100.86,101.3,28904129
2016-04-08,101.94,102.17,100.87,101.23,24024688
2016-04-11,101.67,102.17,100.84,100.85,26108261
2016-04-12,100.91,101.89,100.31,101.7,28903084
2016-04-13,102.46,103.16,102.35,103.0,25667124
2016-04-14,103.0,103.39,102.15,103.01,17427078
2016-04-15,102.92,103.13,102.49,102.75,21264259
2016-04-18,102.46,103.33,102.39,103.3,17377022
2016-04-19,103.49,103.49,102.04,102.66,42672048
2016-04-20,102.66,103.22,102.31,102.75,18246088
2016-04-21,102.69,103.13,102.29,102.76,20355233
2016-04-22,101.42,101.89,100.41,101.21,39741115
2016-04-25,100.87,101.22,100.71,101.21,14611830
2016-04-26,101.41,101.59,100.41,100.71,19372849
2016-04-27,99.68,100.14,99.08,99.91,33476857
2016-04-28,100.01,100.61,98.5,98.7,30206726
2016-04-29,98.64,98.9,97.4,98.18,67877753
2016-05-02,98.41,99.25,98.02,99.11,25305192
2016-05-03,98.4,98.85,97.93,98.19,39119638
2016-05-04,97.62,97.96,97.32,97.56,27851039
2016-05-05,97.91,98.12,97.33,97.53,21129095
2016-05-06,97.06,98.07,96.95,98.05,30998445
2016-05-09,98.08,98.78,98.01,98.33,20587445
2016-05-10,98.68,99.72,98.5,99.67,21506063
2016-05-11,99.52,99.82,98.75,98.77,21195317
2016-05-12,99.07,99.12,97.64,98.34,29391252
2016-05-13,98.3,98.86,97.78,97.97,21317718
2016-05-16,98.13,99.56,98.03,99.2,18797762
2016-05-17,99.13,99.41,97.7,97.96,30961405
2016-05-18,97.78,98.84,97.55,98.31,28319446
2016-05-19,97.93,98.17,97.08,97.8,27607034
2016-05-20,98.2,99.28,98.13,98.88,29790160
2016-05-23,98.95,99.34,98.65,98.75,15933219
2016-05-24,99.29,100.84,99.26,100.72,30547813
2016-05-25,101.1,101.75,100.93,101.45,38911496
2016-05-26,101.55,101.88,101.31,101.75,22037536
2016-05-27,101.83,102.28,101.79,102.27,20257839
2016-05-31,102.41,102.63,101.95,102.47,24926773
2016-06-01,102.15,102.71,102.07,102.48,20132519
2016-06-02,102.27,102.7,101.72,102.69,15823643
2016-06-03,102.5,102.54,101.54,102.21,20516904
2016-06-06,102.39,102.85,102.22,102.58,12863522
2016-06-07,102.65,102.74,102.27,102.32,12369304
2016-06-08,102.49,102.71,102.12,102.5,14713920
2016-06-09,102.09,102.44,101.88,102.33,17695983
2016-06-10,101.41,101.6,100.82,101.17,33124054
2016-06-13,100.61,101.16,100.19,100.32,25727394
2016-06-14,100.09,100.68,99.59,100.32,24772847
2016-06-15,100.59,100.71,99.87,100.04,24643040
2016-06-16,99.53,100.43,98.9,100.33,32438880
2016-06-17,100.13,100.27,98.92,99.16,29544909
2016-06-20,100.31,100.79,99.71,99.78,20879256
2016-06-21,99.94,100.3,99.73,100.1,22959968
2016-06-22,100.17,100.74,99.77,99.86,23064179
2016-06-23,100.65,101.3,100.21,101.28,19146238
2016-06-24,97.59,99.17,96.89,97.11,69013202
2016-06-27,96.47,96.47,94.74,95.18,51256959
2016-06-28,96.21,97.31,96.19,97.27,28850164
2016-06-29,98.01,99.19,97.99,98.99,31827491
2016-06-30,99.19,100.2,98.82,100.14,36862269
2016-07-01,100.09,101.01,100.05,100.64,20260598
2016-07-05,100.17,100.25,99.48,100.02,21568626
2016-07-06,99.56,100.89,99.23,100.84,24846922
2016-07-07,100.93,101.36,100.67,101.14,19294970
2016-07-08,101.65,102.76,101.51,102.71,30318722
2016-07-11,103.06,103.67,103.04,103.29,20625114
2016-07-12,103.91,104.09,103.67,103.81,22937350
2016-07-13,104.09,104.12,103.55,103.56,21298335
