datetime,open,high,low,close,volume
2016-01-04,54.28,54.31,53.68,54.31,197788
2016-01-05,54.44,54.58,54.07,54.45,543309
2016-01-06,53.79,54.07,53.52,53.8,180185
2016-01-07,52.8,53.34,52.41,52.52,178668
2016-01-08,52.84,52.94,51.86,51.92,545356
2016-01-11,52.21,52.26,51.4,52.0,289580
2016-01-12,52.46,52.67,51.86,52.53,342742
2016-01-13,52.73,52.81,51.28,51.34,212777
2016-01-14,51.53,52.54,51.08,52.11,311472
2016-01-15,50.46,51.32,50.46,51.09,677221
2016-01-19,51.74,51.74,50.73,51.15,615031
2016-01-20,50.4,50.97,49.39,50.52,859033
2016-01-21,50.62,51.2,50.23,50.74,1410737
2016-01-22,51.49,51.87,51.35,51.84,807776
2016-01-25,51.7,51.78,51.04,51.04,228810
2016-01-26,51.23,51.86,51.21,51.8,307959
2016-01-27,51.58,51.98,50.87,51.16,771686
2016-01-28,51.54,51.56,50.88,51.33,338154
2016-01-29,51.59,52.62,51.56,52.57,365389
2016-02-01,52.3,52.84,52.15,52.62,346661
2016-02-02,52.17,52.17,51.57,51.74,686962
2016-02-03,52.02,52.22,51.11,52.11,215902
2016-02-04,52.0,52.4,51.78,52.21,496141
2016-02-05,52.03,52.03,51.01,51.27,677986
2016-02-08,50.69,50.94,50.08,50.74,617958
2016-02-09,50.27,51.26,50.27,50.87,155802
2016-02-10,51.23,51.69,50.89,50.93,362698
2016-02-11,50.1,50.58,49.79,50.3,358683
2016-02-12,50.71,51.22,50.55,51.19,539031
2016-02-16,51.77,52.03,51.51,52.01,129397
2016-02-17,52.37,52.85,52.37,52.78,200017
2016-02-18,52.85,52.93,52.6,52.67,501923
2016-02-19,52.43,52.65,52.27,52.62,125141
2016-02-22,53.07,53.32,53.03,53.24,210236
2016-02-23,53.14,53.19,52.62,52.66,1162969
2016-02-24,52.25,53.02,51.95,52.94,122931
2016-02-25,53.08,53.52,52.85,53.5,338234
2016-02-26,53.8,53.84,53.26,53.28,971847
2016-02-29,53.28,53.63,52.89,52.89,176033
2016-03-01,53.32,54.08,53.25,54.08,128878
2016-03-02,53.96,54.19,53.8,54.18,448405
2016-03-03,54.13,54.25,53.85,54.25,257145
2016-03-04,54.26,54.54,53.97,54.37,194018
2016-03-07,54.09,54.5,54.09,54.4,111017
2016-03-08,54.12,54.44,54.03,54.04,1532218
2016-03-09,54.27,54.4,53.96,54.14,111171
2016-03-10,54.37,54.59,53.65,54.19,172980
2016-03-11,54.68,54.99,54.6,54.96,115886
2016-03-14,54.81,55.06,54.81,54.95,330010
2016-03-15,54.66,55.01,54.66,55.01,101034
2016-03-16,54.88,55.4,54.83,55.26,122796
2016-03-17,55.27,55.82,55.18,55.7,692752
2016-03-18,55.92,55.92,55.69,55.82,104686
2016-03-21,55.71,56.0,55.71,55.94,82564
2016-03-22,55.67,56.09,55.67,55.92,763280
2016-03-23,55.77,55.83,55.6,55.65,88751
2016-03-24,55.3,55.58,55.27,55.58,178309
2016-03-28,55.69,55.81,55.58,55.66,123830
2016-03-29,55.55,56.17,55.43,56.15,141904
2016-03-30,56.43,56.59,56.29,56.43,495240
2016-03-31,56.39,56.54,56.23,56.29,769571
2016-04-01,55.99,56.74,55.92,56.71,255477
2016-04-04,56.74,56.74,56.41,56.52,153646
2016-04-05,56.2,56.39,56.07,56.12,133302
2016-04-06,56.16,56.66,56.1,56.65,157755
2016-04-07,56.34,56.36,55.82,56.05,201484
2016-04-08,56.4,56.52,56.05,56.18,76454
2016-04-11,56.34,56.63,56.02,56.04,161797
2016-04-12,56.1,56.59,55.94,56.54,427415
2016-04-13,56.82,57.04,56.68,57.01,180432
2016-04-14,56.99,57.13,56.86,56.99,589118
2016-04-15,56.99,57.07,56.87,57.0,225678
2016-04-18,56.81,57.36,56.81,57.35,244887
2016-04-19,57.56,57.65,57.28,57.48,615557
2016-04-20,57.47,57.67,57.34,57.43,263349
2016-04-21,57.45,57.47,57.06,57.1,1020840
2016-04-22,57.02,57.16,56.79,57.05,247587
2016-04-25,56.85,57.01,56.72,57.01,178169
2016-04-26,57.11,57.28,56.92,57.09,675765
2016-04-27,56.9,57.27,56.75,57.13,94455
2016-04-28,56.84,57.2,56.48,56.59,166761
2016-04-29,56.32,56.32,55.77,56.06,295869
2016-05-02,56.26,56.62,56.14,56.57,342812
2016-05-03,56.19,56.25,55.92,56.12,94863
2016-05-04,55.84,55.94,55.68,55.77,145900
