datetime,open,high,low,close,volume
2016-01-04,91.51,91.9,91.06,91.15,11521089
2016-01-05,90.72,91.19,90.56,90.79,6623305
2016-01-06,91.81,92.03,91.6,92.01,9959812
2016-01-07,92.08,92.26,91.41,92.17,10954398
2016-01-08,91.89,92.67,91.74,92.59,9847504
2016-01-11,91.6,92.16,91.46,91.57,10766688
2016-01-12,91.82,93.31,91.68,92.9,15038636
2016-01-13,92.72,94.19,92.52,93.81,16400279
2016-01-14,93.42,93.79,92.57,92.93,13346357
2016-01-15,94.12,94.54,93.88,94.38,14777540
2016-01-19,93.92,94.62,93.78,94.09,9574231
2016-01-20,95.3,96.01,94.88,95.08,17905005
2016-01-21,95.27,95.54,94.32,94.43,11313832
2016-01-22,93.75,94.22,93.46,94.07,10536614
2016-01-25,94.53,94.77,94.31,94.58,6027259
2016-01-26,94.56,94.91,94.38,94.63,5809581
2016-01-27,94.38,94.79,93.96,94.61,8537262
2016-01-28,94.22,94.88,94.16,94.74,12276802
2016-01-29,95.62,95.97,95.26,95.54,14596073
2016-02-01,95.32,95.55,94.97,95.25,10423311
2016-02-02,96.33,97.03,96.25,97.02,11117292
2016-02-03,96.46,97.71,96.19,96.21,13461350
2016-02-04,96.42,96.7,95.88,96.68,10183251
2016-02-05,96.17,97.0,95.94,96.79,9989578
2016-02-08,97.55,98.98,97.52,98.88,15690322
2016-02-09,99.29,99.31,98.48,98.98,15920758
2016-02-10,99.03,99.89,98.59,99.85,13394908
2016-02-11,101.1,101.7,100.02,100.55,21907122
2016-02-12,99.74,100.11,98.46,98.88,14896448
2016-02-16,98.3,98.32,97.61,97.84,12626361
2016-02-17,97.49,97.63,96.79,97.24,14136952
2016-02-18,97.31,98.51,97.28,98.43,10710699
2016-02-19,98.46,99.13,98.31,98.51,8363424
2016-02-22,98.58,98.59,98.28,98.46,4817649
2016-02-23,97.67,99.06,97.59,98.86,8610870
2016-02-24,99.56,100.31,98.47,98.67,9635514
2016-02-25,98.87,99.68,98.75,99.02,6423914
2016-02-26,97.99,98.37,97.79,98.06,9720038
2016-02-29,98.11,98.64,98.07,98.49,8386400
2016-03-01,98.56,98.58,96.68,96.76,14569506
2016-03-02,96.68,97.17,96.59,97.16,7673488
2016-03-03,97.24,97.9,97.02,97.51,6861592
2016-03-04,97.0,97.29,96.25,96.89,9087721
2016-03-07,96.77,96.94,96.47,96.86,6417650
2016-03-08,98.21,98.69,97.9,97.93,7646122
2016-03-09,97.25,97.71,97.05,97.33,7566290
2016-03-10,97.57,97.82,96.38,96.93,10309176
2016-03-11,97.05,97.09,95.84,95.95,9890691
2016-03-14,96.3,96.73,96.18,96.25,5363030
2016-03-15,96.81,96.93,96.14,96.34,6580058
2016-03-16,96.25,96.83,95.96,96.63,10297235
2016-03-17,96.82,97.44,96.8,97.03,8316895
2016-03-18,97.22,97.57,96.96,97.23,9045949
2016-03-21,96.62,96.9,96.24,96.49,5973685
2016-03-22,97.06,97.2,96.38,96.47,5054893
2016-03-23,96.74,97.81,96.65,97.56,12533321
2016-03-24,98.38,98.43,97.19,97.6,6551762
2016-03-28,97.48,98.06,97.4,97.72,5844231
2016-03-29,98.23,98.76,97.96,98.75,10286970
2016-03-30,97.96,97.99,97.17,97.71,9204435
2016-03-31,97.93,98.55,97.78,98.4,8227662
2016-04-01,98.89,99.0,98.07,98.66,9755121
2016-04-04,98.74,98.88,98.35,98.72,6210078
2016-04-05,99.66,99.93,99.49,99.8,7382199
2016-04-06,99.3,99.41,98.7,99.07,7106234
2016-04-07,99.8,100.4,99.67,100.3,7075277
2016-04-08,99.78,99.96,99.38,99.66,6381878
2016-04-11,99.14,99.79,98.98,99.53,5524847
2016-04-12,98.96,99.32,98.54,98.85,4534847
2016-04-13,98.67,99.34,98.54,99.19,5473658
2016-04-14,98.83,99.13,98.52,98.72,7252244
2016-04-15,99.12,99.78,99.09,99.56,6446417
2016-04-18,99.15,99.23,98.64,99.13,5224238
2016-04-19,98.96,99.13,98.36,98.82,5475423
2016-04-20,99.02,99.39,97.59,97.74,11803635
2016-04-21,96.97,97.44,96.85,97.16,11620228
2016-04-22,97.28,97.32,96.82,96.91,6619502
2016-04-25,96.68,97.03,96.51,96.51,5839373
2016-04-26,96.45,96.45,95.97,96.07,8161474
2016-04-27,96.58,97.25,96.35,97.03,9007594
2016-04-28,96.79,97.5,96.67,97.43,9365989
2016-04-29,96.98,97.93,96.78,97.68,7663079
2016-05-02,97.33,97.51,96.68,96.69,12120905
2016-05-03,98.0,98.36,97.85,97.91,12490468
2016-05-04,98.1,98.47,97.73,98.45,7477202
2016-05-05,98.39,99.15,98.12,99.11,8319211
2016-05-06,98.99,98.99,98.57,98.68,8137767
2016-05-09,98.69,99.02,98.59,98.99,5872081
2016-05-10,98.99,99.19,98.83,99.0,4508520
2016-05-11,98.97,99.86,98.84,99.56,10610619
2016-05-12,98.84,99.23,98.79,99.11,6386051
2016-05-13,99.46,100.1,99.27,100.07,9180390
2016-05-16,99.58,99.6,99.08,99.21,5601003
2016-05-17,99.26,99.73,99.26,99.37,4912095
2016-05-18,98.96,98.99,97.52,97.96,13662802
2016-05-19,98.1,98.59,98.08,98.38,6454110
2016-05-20,98.08,98.65,98.0,98.46,5580562
2016-05-23,98.62,98.9,98.28,98.68,7781469
2016-05-24,98.32,98.49,97.77,98.24,6186224
2016-05-25,98.21,98.53,97.82,97.87,6545170
2016-05-26,98.2,98.68,98.19,98.37,5610027
2016-05-27,98.4,98.54,98.12,98.23,5411545
2016-05-31,97.6,98.68,97.57,98.46,8543209
2016-06-01,99.02,99.51,98.63,98.86,10499626
2016-06-02,99.23,99.83,99.2,99.58,6225498
2016-06-03,100.71,100.99,100.52,100.99,11970683
2016-06-06,100.65,100.74,100.14,100.24,8474388
2016-06-07,100.55,100.8,100.47,100.49,5189995
2016-06-08,100.72,101.15,100.6,101.02,5847933
2016-06-09,101.82,101.99,101.52,101.68,7141375
2016-06-10,102.18,102.59,101.78,102.17,7312014
2016-06-13,102.4,102.63,102.16,102.62,8557224
2016-06-14,103.24,103.26,102.5,102.55,9208133
2016-06-15,102.73,103.27,102.57,102.94,8295999
2016-06-16,103.65,104.28,103.23,103.44,10677873
2016-06-17,103.25,103.3,102.53,102.8,8957074
2016-06-20,101.76,101.99,101.59,101.7,7970038
2016-06-21,101.8,102.02,101.17,101.23,6508394
2016-06-22,101.2,101.57,101.01,101.4,6093612
2016-06-23,100.52,101.06,100.12,100.24,9473910
2016-06-24,103.47,103.56,102.56,102.93,18492541
2016-06-27,104.94,105.82,104.91,105.5,20007101
2016-06-28,105.7,106.05,105.28,105.72,15154073
2016-06-29,105.88,106.22,104.81,104.91,13192712
2016-06-30,105.22,106.08,104.67,105.29,15171618
2016-07-01,106.94,106.94,105.71,106.75,15804847
2016-07-05,107.73,108.53,107.61,108.09,9355443
2016-07-06,108.44,108.6,107.81,108.27,15203855
2016-07-07,107.91,108.74,107.67,108.26,10856794
2016-07-08,108.54,109.07,108.11,109.06,10849146
2016-07-11,108.64,108.95,108.02,108.1,8387287
2016-07-12,106.64,106.97,106.05,106.32,17072451
2016-07-13,107.36,107.67,107.04,107.57,8695621
2016-07-14,105.77,106.2,105.63,106.01,11685558
2016-07-15,105.48,105.65,104.94,105.1,10650836
2016-07-18,105.61,105.76,104.6,105.0,6346610
2016-07-19,105.52,105.8,105.11,105.59,9111835
2016-07-20,104.98,105.19,104.73,105.01,7629415
2016-07-21,104.07,105.27,104.03,105.23,10749534
2016-07-22,104.75,105.74,104.7,105.41,6155933
2016-07-25,105.52,105.76,105.25,105.33,4516261
2016-07-26,105.96,105.96,105.15,105.5,5464150
2016-07-27,105.98,106.81,105.87,106.81,9044017
2016-07-28,106.17,106.96,106.1,106.62,7500343
2016-07-29,106.66,107.6,106.49,107.51,9248113
2016-08-01,106.15,106.7,106.03,106.15,10786877
2016-08-02,104.67,105.76,104.42,105.05,10508059
2016-08-03,105.26,105.39,104.73,105.11,5076081
2016-08-04,105.91,106.44,105.77,105.9,5932630
2016-08-05,105.6,105.7,104.67,104.8,8281772
2016-08-08,104.5,105.21,104.29,105.0,5598412
2016-08-09,105.34,106.11,105.27,106.03,6101373
2016-08-10,106.25,106.71,105.92,106.44,6235279
2016-08-11,106.37,106.38,105.21,105.49,8205572
