datetime,open,high,low,close,volume
2016-01-04,34.18,34.2,33.82,34.14,3007433
2016-01-05,34.21,34.45,34.11,34.37,2946946
2016-01-06,34.03,34.27,33.99,34.16,2768054
2016-01-07,33.65,33.98,33.52,33.61,2741331
2016-01-08,33.71,33.78,33.21,33.27,3712316
2016-01-11,33.37,33.46,33.02,33.32,3775209
2016-01-12,33.55,33.57,33.17,33.49,3011429
2016-01-13,33.61,33.61,32.91,32.96,4091715
2016-01-14,33.07,33.5,32.91,33.3,4328768
2016-01-15,32.69,32.93,32.57,32.87,3534192
2016-01-19,33.13,33.25,32.84,33.09,3300789
2016-01-20,32.68,32.82,31.94,32.58,4908790
2016-01-21,32.67,32.91,32.41,32.68,3475875
2016-01-22,33.03,33.33,32.97,33.3,7630649
2016-01-25,33.24,33.35,32.99,33.02,1750309
2016-01-26,33.13,33.47,33.11,33.45,3425083
2016-01-27,33.41,33.68,33.06,33.25,5859885
2016-01-28,33.37,33.46,33.11,33.3,3345833
2016-01-29,33.46,34.09,33.34,34.09,2839597
2016-02-01,33.9,34.35,33.85,34.22,3287794
2016-02-02,34.0,34.02,33.76,33.86,3379178
2016-02-03,34.0,34.06,33.52,33.94,6913307
2016-02-04,33.88,33.99,33.69,33.85,4856039
2016-02-05,33.8,33.81,33.33,33.45,5133694
2016-02-08,33.2,33.28,32.74,33.14,4248538
2016-02-09,32.91,33.36,32.85,33.15,5744429
2016-02-10,33.3,33.56,33.2,33.23,4982092
2016-02-11,32.89,33.1,32.74,32.94,5335179
2016-02-12,33.17,33.39,33.06,33.39,4597901
2016-02-16,33.65,33.8,33.49,33.8,3683756
2016-02-17,33.93,34.18,33.86,34.11,3832935
2016-02-18,34.16,34.27,34.03,34.18,5904482
2016-02-19,34.06,34.25,33.94,34.21,19260231
2016-02-22,34.43,34.57,34.35,34.54,6750536
2016-02-23,34.48,34.57,34.36,34.37,5239421
2016-02-24,34.21,34.58,34.07,34.53,4598299
2016-02-25,34.59,34.95,34.59,34.95,5026015
2016-02-26,35.0,35.0,34.65,34.68,4250220
2016-02-29,34.7,34.86,34.45,34.45,4205284
2016-03-01,34.66,35.0,34.59,34.98,3531999
2016-03-02,34.94,35.09,34.83,35.09,4446398
2016-03-03,35.08,35.17,34.88,35.15,3749525
2016-03-04,35.15,35.32,35.05,35.23,4222216
2016-03-07,35.12,35.28,35.06,35.21,3870835
2016-03-08,35.11,35.25,35.02,35.09,5713787
2016-03-09,35.2,35.28,35.11,35.21,4691673
2016-03-10,35.28,35.48,34.97,35.26,5545947
2016-03-11,35.5,35.7,35.46,35.67,3965605
2016-03-14,35.63,35.74,35.56,35.68,3938201
2016-03-15,35.53,35.68,35.47,35.66,3465092
2016-03-16,35.57,35.91,35.48,35.84,4179711
2016-03-17,35.88,36.11,35.79,36.04,3985268
2016-03-18,36.13,36.2,35.97,36.11,5048868
2016-03-21,36.08,36.14,35.99,36.08,3333209
2016-03-22,35.98,36.11,35.92,36.02,3200079
2016-03-23,35.98,36.08,35.92,35.96,2970932
2016-03-24,35.84,35.96,35.76,35.96,3289030
2016-03-28,36.01,36.12,35.95,36.04,4025104
2016-03-29,36.01,36.48,35.97,36.48,3567497
2016-03-30,36.58,36.62,36.49,36.54,3489339
2016-03-31,36.53,36.63,36.45,36.49,3386410
2016-04-01,36.38,36.83,36.33,36.8,4299226
2016-04-04,36.82,36.83,36.66,36.73,3836421
2016-04-05,36.6,36.63,36.38,36.43,4262456
2016-04-06,36.42,36.7,36.38,36.69,4277350
