datetime,open,high,low,close,volume
2016-01-04,52.6,52.62,51.92,52.4,8944021
2016-01-05,52.42,53.58,52.38,53.41,7390943
2016-01-06,52.94,53.35,52.91,53.27,5772082
2016-01-07,52.62,52.84,52.18,52.23,6321818
2016-01-08,52.58,52.62,51.45,51.53,4653368
2016-01-11,51.58,52.13,51.56,51.82,5066548
2016-01-12,52.1,52.16,51.21,51.48,5970755
2016-01-13,51.65,52.02,50.63,50.74,7747991
2016-01-14,50.67,51.08,50.24,50.62,5190643
2016-01-15,49.99,50.4,49.6,50.27,5618579
2016-01-19,50.51,50.93,50.27,50.54,5096449
2016-01-20,49.96,50.1,48.12,49.18,9188624
2016-01-21,49.42,50.16,49.02,49.46,6884720
2016-01-22,49.94,51.02,49.86,50.83,4561827
2016-01-25,50.73,51.27,50.38,50.51,4713149
2016-01-26,50.75,51.59,50.65,51.57,5255128
2016-01-27,51.51,51.51,50.25,50.57,4909481
2016-01-28,50.87,51.05,50.0,50.19,5685551
2016-01-29,50.49,51.27,50.12,51.22,11755380
2016-02-01,50.91,51.74,50.74,51.31,6984306
2016-02-02,51.06,51.23,50.55,50.84,6419338
2016-02-03,51.1,51.38,50.55,51.18,5858026
2016-02-04,51.15,51.49,50.68,51.21,4494167
2016-02-05,51.1,51.1,50.19,50.23,4112997
2016-02-08,49.91,49.98,48.03,48.8,5470494
2016-02-09,48.31,48.43,47.53,47.9,9144888
2016-02-10,48.21,48.88,48.02,48.23,3910077
2016-02-11,47.55,47.87,47.16,47.55,4960275
2016-02-12,47.99,48.23,47.6,48.09,5133846
2016-02-16,48.47,49.03,48.24,48.98,4002403
2016-02-17,49.16,49.96,49.02,49.4,3076279
2016-02-18,49.5,50.03,49.2,49.9,3585247
2016-02-19,49.72,50.39,49.56,50.18,2906366
2016-02-22,50.58,51.03,50.56,50.66,3031296
2016-02-23,50.61,51.13,50.45,50.53,2622720
2016-02-24,50.31,50.57,49.95,50.47,3099437
2016-02-25,50.69,51.53,50.69,51.5,3442628
2016-02-26,51.45,51.68,51.21,51.23,3192214
2016-02-29,51.18,51.75,50.95,51.03,5421388
2016-03-01,51.08,52.48,50.99,52.47,5742606
2016-03-02,52.26,52.88,52.16,52.85,3773733
2016-03-03,52.87,53.13,52.59,53.13,3044610
2016-03-04,53.04,53.18,52.75,53.14,2820879
2016-03-07,52.86,53.39,52.77,53.28,3762988
2016-03-08,53.2,53.25,52.66,52.73,2841368
2016-03-09,52.9,53.3,52.78,53.02,3606785
2016-03-10,53.39,53.49,52.24,52.83,2495861
2016-03-11,53.36,54.07,53.24,54.01,2563618
2016-03-14,53.93,54.07,53.72,54.02,2620378
2016-03-15,53.79,54.16,53.68,54.05,1912152
2016-03-16,53.89,54.79,53.7,54.7,3504690
2016-03-17,54.79,55.59,54.54,55.47,5599995
2016-03-18,55.58,55.72,55.23,55.23,3323885
2016-03-21,55.14,55.31,54.64,54.73,4434903
2016-03-22,54.62,54.9,54.41,54.73,4804172
2016-03-23,54.73,54.79,54.4,54.44,2996360
2016-03-24,54.34,54.5,53.97,54.46,2870117
2016-03-28,54.44,55.07,54.43,54.95,3924740
2016-03-29,55.02,56.17,54.85,56.14,5123236
2016-03-30,56.28,56.4,55.98,56.03,3571755
2016-03-31,56.02,56.45,55.91,56.37,7794640
2016-04-01,56.26,56.39,55.95,56.3,5313065
2016-04-04,56.41,56.47,56.02,56.22,6953076
2016-04-05,55.97,56.12,55.71,55.85,3348610
2016-04-06,55.87,56.01,55.56,55.98,2965012
2016-04-07,55.85,55.98,55.39,55.63,2358878
2016-04-08,55.92,60.11,55.8,55.94,3410040
2016-04-11,56.05,56.21,55.82,55.83,2866498
2016-04-12,55.95,56.37,55.81,56.23,2515294
2016-04-13,56.39,56.42,55.8,55.98,2841196
2016-04-14,55.95,55.99,55.53,55.67,2050871
2016-04-15,55.78,56.23,55.5,56.09,2461493
2016-04-18,56.0,56.37,55.93,56.36,2395350
2016-04-19,56.52,56.52,56.16,56.39,3151413
2016-04-20,56.39,56.51,55.39,55.43,4165384
2016-04-21,55.41,55.52,54.28,54.44,5084076
2016-04-22,54.44,55.13,54.36,55.01,3233652
2016-04-25,54.86,55.5,54.85,55.48,2448756
2016-04-26,55.69,56.02,55.51,55.71,3232070
2016-04-27,55.69,55.78,55.07,55.67,3291002
2016-04-28,55.34,55.9,55.12,55.55,3025057
2016-04-29,55.29,55.41,54.51,55.05,4260102
2016-05-02,55.02,56.04,55.02,55.9,4168017
2016-05-03,55.88,56.03,55.56,55.99,3370669
2016-05-04,55.64,56.9,55.64,56.79,4235461
2016-05-05,56.87,57.06,56.6,56.95,3371102
2016-05-06,56.95,57.63,56.68,57.58,3591691
2016-05-09,57.76,58.3,57.6,58.21,4808218
2016-05-10,58.34,58.41,58.0,58.2,4111556
2016-05-11,58.17,58.17,56.74,56.96,4144306
2016-05-12,57.03,57.47,56.56,57.32,3487555
2016-05-13,57.13,57.13,56.38,56.77,4029585
2016-05-16,56.77,57.48,56.72,57.31,3401821
2016-05-17,57.17,57.17,55.94,56.25,4336068
2016-05-18,56.02,56.08,54.74,55.37,4764516
2016-05-19,55.02,55.15,54.46,54.75,4381001
2016-05-20,54.96,55.29,54.86,55.2,3418354
2016-05-23,55.29,55.4,55.06,55.2,2766262
2016-05-24,55.54,55.98,55.34,55.88,3061762
2016-05-25,56.03,56.03,55.33,55.88,3359381
2016-05-26,55.78,56.16,55.65,55.98,3195048
2016-05-27,56.08,56.53,56.03,56.3,3050040
2016-05-31,56.21,56.45,55.94,56.29,5192976
2016-06-01,56.09,56.47,56.04,56.33,4611460
2016-06-02,56.17,56.64,56.03,56.62,8314745
2016-06-03,57.17,57.34,56.58,56.85,4466875
2016-06-06,56.91,57.03,56.12,56.41,3363692
2016-06-07,56.66,56.93,56.5,56.74,2485273
2016-06-08,56.74,57.17,56.54,57.13,3203984
2016-06-09,57.12,57.36,56.92,57.25,4158529
2016-06-10,57.03,57.19,56.74,57.0,2556618
2016-06-13,57.0,57.42,56.93,56.97,3318318
2016-06-14,56.99,57.19,56.64,56.82,3477816
2016-06-15,56.97,57.58,56.89,57.38,2859534
2016-06-16,57.3,57.73,57.02,57.71,2851188
2016-06-17,57.74,57.74,57.17,57.61,4433718
2016-06-20,57.89,58.39,57.62,57.69,4123765
2016-06-21,57.91,58.08,57.65,57.91,3688999
2016-06-22,58.03,58.04,57.68,57.82,4104605
2016-06-23,58.09,58.33,57.99,58.12,1690939
2016-06-24,57.1,58.18,56.7,57.6,5782810
2016-06-27,57.29,57.73,56.82,57.64,4833792
2016-06-28,57.94,58.86,57.8,58.84,5340453
2016-06-29,59.13,59.65,59.06,59.57,4423413
2016-06-30,59.72,60.19,59.24,60.19,6672296
2016-07-01,60.39,60.68,60.03,60.2,4849226
2016-07-05,60.21,60.87,60.14,60.85,3986955
2016-07-06,60.78,60.85,60.31,60.6,4696194
2016-07-07,60.55,60.59,59.65,59.96,5517739
2016-07-08,60.24,60.98,60.24,60.95,2800980
2016-07-11,61.0,61.49,60.63,61.34,3541125
2016-07-12,61.37,61.46,60.88,61.35,3777134
2016-07-13,61.5,61.69,61.22,61.69,5001532
2016-07-14,61.5,61.66,61.0,61.14,3238990
2016-07-15,61.14,61.21,60.72,61.16,3360420
2016-07-18,61.25,61.35,61.09,61.33,2729974
2016-07-19,61.33,61.63,61.04,61.6,1990755
2016-07-20,61.73,61.79,61.44,61.61,2134046
2016-07-21,61.5,61.75,61.22,61.75,2208956
2016-07-22,61.69,62.48,61.56,62.3,2534026
2016-07-25,62.32,62.54,61.97,62.18,2485686
2016-07-26,62.24,62.43,61.73,61.86,2531759
2016-07-27,61.86,61.86,60.88,61.39,4025813
2016-07-28,61.3,62.21,61.16,61.96,2919361
2016-07-29,62.13,63.07,61.9,62.75,3626808
2016-08-01,62.67,62.96,62.62,62.89,3352167
2016-08-02,62.7,62.81,61.77,61.88,3903317
2016-08-03,61.67,61.92,61.19,61.52,3999176
2016-08-04,61.6,61.71,61.16,61.27,2768842
2016-08-05,61.31,61.5,61.1,61.31,3110695
2016-08-08,61.27,61.71,61.16,61.41,2256155
2016-08-09,61.52,61.75,61.05,61.75,3530494
2016-08-10,61.93,62.04,61.49,61.69,5368691
2016-08-11,61.67,61.69,60.66,60.99,4819299
2016-08-12,61.12,61.81,60.94,61.25,3064690
2016-08-15,61.34,61.55,61.16,61.18,2973981
2016-08-16,60.98,61.06,60.37,60.45,4233982
2016-08-17,60.4,60.74,59.98,60.7,5306954
2016-08-18,60.61,60.88,60.19,60.47,4145151
2016-08-19,60.39,60.46,59.91,60.09,3371520
2016-08-22,60.24,60.46,60.09,60.42,3980165
2016-08-23,60.62,60.76,60.42,60.44,6613258
2016-08-24,60.6,60.61,59.84,60.18,6185064
2016-08-25,60.34,60.82,60.15,60.45,3275049
2016-08-26,60.56,60.93,59.45,59.85,5938557
2016-08-29,59.98,60.63,59.98,60.44,3400549
2016-08-30,60.57,60.65,59.8,60.32,3556990
2016-08-31,60.27,60.59,60.05,60.39,5474569
2016-09-01,60.46,60.48,59.94,60.24,4138636
2016-09-02,60.59,61.5,60.5,60.76,4891555
2016-09-06,61.03,61.24,60.49,61.24,3991434
2016-09-07,61.15,61.63,60.95,61.6,2980865
2016-09-08,61.33,61.43,60.78,60.84,3235354
2016-09-09,60.15,60.32,58.42,58.42,7821078
2016-09-12,58.32,59.4,58.14,59.13,7253906
